Person 1:
[[930.661, 530.415], [880.559, 527.365]],
[[930.672, 530.415], [880.401, 527.364]],
[[930.686, 533.182], [877.645, 527.341]],
[[930.621, 530.422], [880.427, 527.361]],
[[930.705, 530.271], [877.597, 527.401]],
[[930.626, 533.241], [883.391, 527.4]],
[[930.664, 530.337], [880.39, 527.43]],
[[930.704, 530.324], [880.389, 527.454]],
[[933.486, 530.303], [877.613, 530.155]],
[[930.709, 530.322], [877.615, 530.175]],
[[933.468, 530.261], [877.64, 530.18]],
[[930.668, 530.234], [880.429, 530.184]],
[[930.652, 530.224], [880.436, 530.189]],
[[930.6, 530.28], [880.438, 530.194]],
[[930.574, 530.276], [880.428, 530.202]],
[[927.729, 530.193], [880.441, 530.202]],
[[927.56, 530.325], [880.415, 530.213]],
[[924.732, 530.26], [880.428, 530.201]],
[[927.527, 530.31], [880.44, 530.222]],
[[927.688, 530.193], [880.441, 530.224]],
[[930.555, 527.461], [880.401, 530.234]],
[[930.696, 527.469], [877.637, 530.255]],
[[933.563, 527.44], [877.642, 530.261]],
[[933.552, 530.273], [880.404, 530.246]],
[[933.515, 530.29], [877.599, 530.227]],
[[933.511, 530.292], [877.612, 530.218]],
[[933.561, 530.253], [877.628, 530.205]],
[[933.539, 530.24], [880.396, 530.212]],
[[933.481, 530.264], [880.403, 530.236]],
[[933.534, 530.288], [880.418, 530.21]],
[[933.594, 530.302], [880.425, 530.208]],
[[933.605, 530.317], [877.634, 530.184]],
[[933.595, 530.295], [880.405, 530.171]],
[[933.611, 530.262], [880.414, 530.169]],
[[936.482, 530.303], [880.415, 527.463]],
[[936.492, 530.32], [880.401, 530.152]],
[[939.37, 530.307], [877.639, 527.47]],
[[942.293, 530.316], [880.405, 527.456]],
[[939.377, 530.287], [880.397, 527.406]],
[[936.515, 530.263], [877.626, 527.331]],
[[939.379, 530.235], [877.608, 527.348]],
[[939.406, 530.218], [877.603, 527.385]],
[[939.45, 530.224], [877.616, 527.372]],
[[942.288, 530.227], [877.621, 527.387]],
[[939.434, 530.259], [877.626, 527.351]],
[[939.413, 530.276], [877.636, 527.327]],
[[942.362, 530.239], [877.634, 527.354]],
[[939.443, 530.277], [877.608, 527.373]],
[[939.422, 530.338], [877.587, 530.245]],
[[933.583, 530.294], [877.627, 530.161]],
[[933.543, 530.288], [877.612, 530.175]],
[[930.688, 530.32], [877.631, 530.174]],
[[930.7, 530.311], [877.598, 530.17]],
[[933.5, 530.262], [877.639, 527.467]],
[[933.478, 530.205], [877.613, 527.462]],
[[933.556, 530.233], [877.597, 527.414]],
[[933.54, 530.257], [877.605, 527.449]],
[[933.597, 530.195], [877.625, 527.419]],
[[936.409, 527.409], [877.612, 527.47]],
[[933.526, 530.175], [877.579, 530.188]],
[[933.498, 527.445], [877.58, 530.231]],
[[933.469, 527.365], [877.543, 530.247]],
[[930.637, 524.448], [877.595, 530.208]],
[[930.63, 527.458], [877.534, 530.285]],
[[930.536, 530.194], [877.585, 530.276]],
[[927.619, 530.24], [877.583, 530.28]],
[[927.582, 530.281], [877.577, 530.302]],
[[927.645, 530.255], [877.571, 530.301]],
[[930.586, 530.158], [877.54, 530.3]],
[[930.624, 527.434], [877.528, 530.321]],
[[930.707, 527.46], [877.515, 530.327]],
[[933.546, 530.17], [874.696, 530.316]],
[[933.548, 527.473], [874.697, 530.318]],
[[933.54, 530.203], [877.487, 530.303]],
[[933.578, 530.203], [877.506, 530.317]],
[[933.606, 530.2], [877.524, 530.307]],
[[936.441, 530.16], [877.524, 530.298]],
[[933.593, 530.221], [877.532, 530.272]],
[[933.528, 530.254], [877.533, 530.212]],
[[933.574, 530.239], [877.549, 530.236]],
[[933.586, 530.237], [877.533, 530.242]],
[[933.536, 530.203], [877.555, 530.311]],
[[933.542, 530.247], [877.522, 530.336]],
[[933.608, 530.251], [877.519, 530.303]],
[[936.518, 530.288], [877.491, 530.19]],
[[936.518, 530.214], [877.539, 530.165]],
[[936.51, 530.202], [877.568, 527.449]],
[[936.483, 530.189], [877.583, 527.413]],
[[936.465, 530.165], [877.568, 527.414]],
[[936.436, 530.202], [877.524, 530.164]],
[[936.442, 530.189], [877.515, 530.266]],
[[933.576, 530.221], [874.683, 530.335]],
[[933.567, 530.252], [877.501, 530.427]],
[[933.595, 530.178], [877.54, 530.432]],
[[933.54, 530.27], [877.507, 530.405]],
[[933.556, 530.229], [874.678, 530.405]],
[[933.598, 530.202], [874.614, 530.395]],
[[930.682, 530.26], [874.588, 530.395]],
[[930.67, 527.45], [871.718, 530.355]],
[[930.545, 527.448], [871.689, 530.403]],
[[927.665, 530.193], [871.728, 530.409]],
[[924.693, 530.316], [871.743, 530.38]],
[[924.572, 530.309], [871.74, 530.362]],
[[924.58, 530.28], [871.75, 530.342]],
[[924.612, 530.37], [874.573, 530.428]],
[[924.603, 530.345], [874.582, 530.433]],
[[924.619, 530.346], [874.596, 530.424]],
[[924.593, 530.308], [874.612, 530.423]],
